Jam,Tanggal,Bulan,Tahun,Username,Caption,Link,Like,Komentar,jenisPostingan
17,30,5,2021,tokopedia,BAGIBAGI IPHONE XR menjelang hari terakhir promo Tokopedia Waktu Indonesia Belanja bulan ini  Mia mau coba uji pengetahuanmu tentang Tokopedia WIB Kasih tau Mia apa aja yang kamu ketahui tentang Tokopedia WIB ya  Baca cara ikutannya dengan teliti  Jawab dan sertakan alasanmu kenapa pengen banget hadiah ini   Cara ikutannya  1 Follow tokopedia dan LIKE potsingan ini  2 Jawab pertanyaan dan tulis kenapa kamu pengen hadiah ini 1 satu akun cukup komentar SEKALI SAJA  3 Tambahkan hashtag TokopehadiahWawasanWIB serta tag 2 temen kamu di kolom komentar  4 1 satu Pemenang yang alasannya paling menarik akan mendapatkan IPHONE XR  5 Pemenang akan diumumkan tanggal 20 Juni 2021 di IG Story  NOTE Boleh menggunakan akun temankeluarga kamu untuk ikutan giveway ini biar kesempatan menang lebih besar  Yuk jawab SEBANYAKBANYAKNYA dengan akun yang berbeda supaya kesempatan menangmu lebih besar dan share postingan ini biar temanteman kamu bisa ikutan  giveawaytokopedia tokopedia hadiah hp giveawayindonesia giveawayolshop giveawayid giveawayindo giveaway kuis promo giveawayiphone,https://www.instagram.com/p/CPfpSJEBCor,90706,18141,giveaway
16,30,5,2021,tokopedia,Baru Minto mau pake uang sepuluh ribunya buat es kelapa   Tapi karena ada Night Deals Serba Rp 10RB setiap hari Senin  Jumat di jam 2000 WIB Minto berubah pikiran deh Jadinya mau beli jam tangan sama wireless earbuds baru aja   Yuk langsung aja ke Tokopedia Play  tokopedialinktokopediaplay   Ohiya jangan lupa follow Instagram tokopediaplay juga yaa   TokopediaPlay NightDeals Serba10RB,https://www.instagram.com/p/CPfif3MB406,17365,992,Others
13,30,5,2021,tokopedia,Sebagai pengingat nih Mia mau kasih tau lagi promo Waktu Indonesia Belanja masih ada sampai akhir bulan  Promo yang berlangsung juga masih banyak banget loh 1 Masih bisa belanja hemat dengan Kejar Diskon mulai dari 5ribu 2 Makin hemat lagi dengan Cashback Spesial 3 Dan ada juga gratis ongkir dengan GoSend   Cek di slide selanjutnya ya  Tokopedia SelaluAdaSelaluBisa,https://www.instagram.com/p/CPfKLONh7Sv,17462,1214,Others
12,30,5,2021,tokopedia,Kalau kata V jangan lupa belanja di TokopediaWIB Ada promo gratis ongkir pakai Go Send yang bisa kamu pakai belanja hari ini Jadi jangan sampai kelewatan ya  TokopediaxBTS BTS V,https://www.instagram.com/p/CPfHQ-Gh0q5,70718,1932,Others
12,30,5,2021,tokopedia,Kata siapa akhir bulan gak bisa makan enak Minto aja makan wagyu steak cuma modal 50ribuan aja   Nih Minto kasih tau kalo sekarang ada promo sembako akhir bulan di TokoMart Jadi kamu bisa tetap belanja kebutuhan di akhir bulan tanpa perlu khawatir karena promo sembako bisa kamu dapetin mulai dari serba Rp1Rb aja Belanja harian jadi makin hemat kan   Langsung aja cek TokoMart di Tokopedia atau tap foto di atas buat langsung belanja ya,https://www.instagram.com/p/CPfGDN-hSvO,14823,625,Others
16,29,5,2021,tokopedia,Minto pernah denger kalau outfit sama suasana hati itu saling berpengaruh loh   Makanya ayo ekspresikan isi hati kamu dengan outfit dari Festival Distro Lokal mumpung lagi ada Diskon hingga 75  Flash Sale Serba 50RB   Langsung tap foto di atas buat belanja ya Cuss belanja bareng Minto   Fashion FestivalDistroLokal Tokopedia SelaluAdaSelaluBisa Pakaian,https://www.instagram.com/p/CPc8Lhehsls,29985,8131,Others
15,29,5,2021,tokopedia,Ayo coba kasih tau fakta BTS yang kamu ketahui di kolom komentar   TokopediaxBTS BTS RM Jin SUGA jhope Jimin V JungKook,https://www.instagram.com/p/CPcxCW_hdK7,44689,4065,Others
18,28,5,2021,tokopedia,Calling all content creators  Hadiah ini akan Minto kirim langsung ke alamat kamu Tulis ulasan kenapa mengutamakan alat itu di jawaban kamu ya   Cara ikutannya  1 Follow tokopedia dan tokopediaparents  2 Jawab di kolom komentar cukup SEKALI SAJA  3 Tambahkan hashtag TokopediaSemuaBisaNgonten serta tag 2 temen kamu di kolom komentar  4 3 tiga pemenang yang terpilih akan mendapatkan  Pemenang 1 Godox Pocket Flash   Pemenang 2 Midio Paket Lengkap  Pemenang 3 Moza MX Gimbal  5 Pemenang akan diumumkan tanggal 8 Juni 2021 di IG Story  NOTE Boleh menggunakan akun temankeluarga kamu untuk ikutan giveway ini biar kesempatan menang lebih besar  Yuk jawab SEBANYAKBANYAKNYA dengan akun yang berbeda supaya kesempatan menangmu lebih besar dan share postingan ini biar temanteman kamu bisa ikutan  giveawaytokopedia tokopedia hadiah giveawayindonesia giveawayolshop giveawayid giveawayindo giveaway kuis promo photostudio contentcreator,https://www.instagram.com/p/CPah1gYBJYP,20477,2228,giveaway
15,28,5,2021,tokopedia,Menangkan TinyTAN Ice Tumbler  Cara ikutannya 1 FOLLOW tokopedia dan LIKE postingan ini  2 SCREENSHOT postingan di atas saat semua member BTS muncul  3 POST DI INSTAGRAM STORY hasil screenshot tersebut mention tokopedia dan gunakan hashtag TokopediaxBTS  4 Setelah post di Instagram Story TULIS DI KOLOM KOMENTAR POST INI BISA TANGKAP SEMUA  5 Dua 2 Pemenang yang terpilih akan mendapatkan TinyTAN Ice Tumbler  6 Pemenang akan diumumkan tanggal 4 Juni 2021 di IG Story  TokopediaxBTS BTS giveawayBTS giveawaykpop giveawaygiveawayindonesia giveawayolshop giveawayid giveawayindo giveaway kuis,https://www.instagram.com/p/CPaM9EyBrQh,54640,5790,giveaway
14,28,5,2021,tokopedia,TAP pada gambar untuk menuju surganya pecinta gadget dan elektronik di Tokopedia   Apalagi ada JHT Jaminan Harga Termurah yang bikin kamu ga perlu capekcapek bandingin ke yang lain karena sudah dijamin paling murahhh   Kalau setelah transaksi kamu nemu harga yang lebih murah kamu bisa laporkan dengan isi form di kolom Jaminan Harga Termurah untuk dapatkan GRATIS gift card Tokopedia   Toppers komen dong dibawah lagi incar barang apa aja nih   TokopediaTekno JaminanHargaTermurah BebasOngkirSepuasnya Elektronik HPGadget,https://www.instagram.com/p/CPaGgQfBFfE,14862,590,Others
