Jam,Tanggal,Bulan,Tahun,Username,Caption,Link,Like,Komentar,jenisPostingan
17,4,6,2021,shopee_id,Sobat Shopee Pasti masih inget dong sama pelajaran peribahasa Coba kamu liat gambar di atas yuk isi bagian yang kosong Gampang banget kan  Yang bisa langsung aja TAP 2X dan tulis jawaban kamu di kolom komentar ya  ShopeeID ShopeeDariRumah,https://www.instagram.com/p/CPsewsHBTiM,10423,2468,Others
17,4,6,2021,shopee_id,Hi Sobat Shopee Buat kamu yang sudah lama ga belanja di Shopee Shopee Kangen Kamu nih Yuk belanja lagi di Shopee dan dapatkan promo Gratis Ongkir RP0 dan Diskon SD 100RB di semua toko Syarat dan ketentuan berlaku ya   Tap 2X kalo kamu siap dapetin promonya ShopeeID,https://www.instagram.com/p/CPsbSgnhPxe,4364,156,Others
16,4,6,2021,shopee_id, SAATNYA KUIS HEBOH SHOPEE   Sobat Shopee sekarang saatnya untuk KuHePee alias Kuis Heboh Shopee  Shopee yakin banget kamu pasti mau dong dapetin handphone GRATIS  Yuk langsung aja ikutan kuis ini dengan menebak warna kotak Shopee  Gampang banget dong  Jangan lupa juga ya untuk memenuhi beberapa syarat sebagai berikut 1 FOLLOW Instagram shopee_id 2 LIKE postingan ini 3 Tulis jawaban kamu di kolom komentar 4Periode giveaway berlangsung hingga 6 Juni 2021 1200 WIB 5 Satu orang akan kami pilih secara acak untuk menjadi pemenang dan memenangkan Xiaomi Redmi 9C 6 KuHePee akan diumumkan pada tanggal 6 Juni 2021  Yuk langsung aja jawab di kolom komentar ShopeeID ShopeeDariRumah,https://www.instagram.com/p/CPsXyFHBayN,38939,30446,giveaway
16,4,6,2021,shopee_id,ridwankamil Gubernur Jawa Barat menggandeng Shopee Indonesia dalam program UMKM Jabar Go Digital Peluncuran program dilakukan pada 2 Juni 2021 di Pendopo Pakuan Bandung Jawa Barat  Shopee berharap komitmen ini dapat mendukung 5000 desa di Jawa Barat untuk Go Digital dan mewujudkan visi UMKM Go Global bersama ShopeeShopeeID,https://www.instagram.com/p/CPsV2u1BFNL,1911,47,Others
15,4,6,2021,shopee_id,Yuhuu Sobat Shopee Shopee punya pertanyaan seputar kebudayaan Indonesia nih buat kamu  Coba kamu lihat soal di atas kamu tau gak apa nama dari tarian daerah yang ada pada gambar Pasti tau dong  Yuk langsung aja buktiin kalau kamu memang hebat dan tulis jawaban kamu AB di kolom komentar ya Yang benar siapsiap dapat kejutan dari Shopee  ShopeeID ShopeeDariRumah,https://www.instagram.com/p/CPsRQ-8BfFL,19635,7612,Others
15,4,6,2021,shopee_id,Hai Sobat Shopee Berikut ini adalah kisah Bobby pemilik FORIND Memiliki usaha di usia muda dan memajukan produk lokal adalah sebuah tantangan bagi Bobby Ia memiliki pandangan bahwa sebisa mungkin untuk mandiri dan tidak minta uang dari orang tuanya Ia juga bertekad untuk membuat orang tuanya bangga  Bobby pun memulai usaha sepatu buatan pengrajin lokal Bergabung dengan Shopee sebagai salah satu upaya untuk memperluas jaringan bisnis FORIND Tak hanya di lingkup lokal tetapi juga global  Beli produk FORIND di Shopee  shopeecoidforindid  Yuk tonton konten inspiratif dari para seller Shopee lainnya di sini  shopeecoidshopeepilihlokal   ShopeePilihLokal DariLokalUntukGlobal ShopeeID,https://www.instagram.com/p/CPsPinrjdhF,2160,47,Others
14,4,6,2021,shopee_id,Hai Sobat Shopee Gak terasa besok udah akhir pekan aja ya  Shopee mau tau dong kirakira aktivitas akhir pekan kamu ngapain sih besok Tidur belanja apa olahraga nih hayo  Yuk langsung aja tulis jawaban kamu ABC di kolom komentar ya Selamat berakhir pekan Sobat Shopee  ShopeeID ShopeeDariRumah,https://www.instagram.com/p/CPsLtzTh7k1,8106,2208,Others
13,4,6,2021,shopee_id, SUPER BRAND DAY GODREJ   Sobat Shopee HARI INI di Shopee ada Super Brand Day Godrej  Beli semua produk Godrej favorit kamu dan dapatkan DISKON sd 90 serta Spesial Bundle BUY 1 GET 1 Makin lengkap karena ada Kombo Hemat belanja dan tebus murah Rp0 Mantap banget kan Jangan lewatkan juga ada Exclusive Launch Hit Green Repellent  Untuk informasi lebih lanjut cek di sini  shopeecoidsuperbrandday  Komen SIAP kalau kamu siap belanja dan mau dapetin promo tambahan ShopeeID,https://www.instagram.com/p/CPsBwVuBmgq,3235,165,Others
12,4,6,2021,shopee_id, HUJAN HADIAH DI SHOPEE   Sobat Shopee Mau dapetin hadiah GRATIS dari Shopee Yuk langsung aja follow dan ikutan GIVEAWAY spesial dari shopeebarokah shopeeformen shopeekpop shopeebeauty_id shopeemoms_id shopeefashion_id SEKARANG JUGA Ada BANYAK BANGET hadiah yang menantimu  Komen SHOPEE kalau kamu siap dapetin hadiah GRATIS ShopeeID,https://www.instagram.com/p/CPr76H3h75X,14730,4435,giveaway
11,4,6,2021,shopee_id, 2 HARI MENUJU PROMO PUNCAK   Sobat Shopee Jangan lewatkan kemeriahan Promo Puncak Shopee 66 Rumah  Hobi Sale tanggal 6 Juni mulai Pukul 0000 WIB  Kamu bisa belanja sepuasnya dengan banyak PROMO menarik mulai dari Gratis Ongkir Rp 0 semua toko hingga Diskon sd 600RB  Kamu juga bisa berkesempatan untuk memiliki iPhone 12 seharga RP1000 Mantap banget kan  Yuk tunggu apa lagi Klaim Vouchermu sekarang dan untuk info selengkapnya langsung aja cek di sini  shopeecoidm66rumahhobisaleteaser  Komen SIAP dan tag 1 teman kalau kamu udah siap belanja di PROMO PUNCAK  ShopeeID 66RumahHobiSale,https://www.instagram.com/p/CPrz-EwhVpC,7679,591,Others
